"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"114050",2019-11-01,14.4,-3,"86.2","0"
"114050",2019-11-02,14,-3.2,"84.7","0"
"114050",2019-11-03,13.8,-4,"88.4","0"
"114050",2019-11-04,9.8,-2.6,"92.7","0"
"114050",2019-11-05,13,-0.4,"90.7","0.2"
"114050",2019-11-06,10.2,0.4,"88.1","0"
"114050",2019-11-07,9.4,-0.2,"81.7","6.8"
"114050",2019-11-08,9.8,0.8,"87.6","10.5"
"114050",2019-11-09,9.2,0,"85.3","1.8"
"114050",2019-11-10,10.8,-0.6,"91.7","25"
"114050",2019-11-11,7.4,-0.6,"93.5","2.4"
"114050",2019-11-12,9.6,0,"91.9","0.7"
"114050",2019-11-13,11.2,-1.2,"89.6","0.4"
"114050",2019-11-14,11.6,0.4,"94","0"
"114050",2019-11-15,8.4,-0.8,"86.2","1.9"
"114050",2019-11-16,10.8,-0.4,"86.8","3.5"
"114050",2019-11-17,10,-0.2,"88.1","0"
"114050",2019-11-18,13.2,0,"83.9","0"
"114050",2019-11-19,12.2,-3.6,"85.1","0"
"114050",2019-11-20,12,-3.4,"82.1","0"
"114050",2019-11-21,12,-2.4,"87.6","2.2"
"114050",2019-11-22,11.2,-1,"87.4","2.7"
"114050",2019-11-23,10,-0.4,"89.3","0"
"114050",2019-11-24,12.2,-2.4,"78.9","0"
"114050",2019-11-25,12.8,-3.2,"81.4","0"
"114050",2019-11-26,10,-3.6,"92.8","2"
"114050",2019-11-27,15.5,0.6,"81.8","3"
"114050",2019-11-28,13.2,1,"88.4","0"
"114050",2019-11-29,13,0.4,"85.4","2.4"
"114050",2019-11-30,14.2,0.8,"88.9","0"
"114050",2019-12-01,14.8,1,"82.5","0"
"114050",2019-12-02,8.6,-0.2,"86.2","6.4"
"114050",2019-12-03,9.2,1.2,"91.6","8.2"
"114050",2019-12-04,10.2,1.8,"86.9","5"
"114050",2019-12-05,8.6,0.8,"84.9","12.2"
"114050",2019-12-06,7.6,-0.6,"87.4","31.9"
"114050",2019-12-07,9.8,-1.6,"86.9","0"
"114050",2019-12-08,11.8,-1.4,"88.6","0"
"114050",2019-12-09,9.8,-0.4,"85.4","6.3"
"114050",2019-12-10,11.8,0.3,"88.1","0.5"
"114050",2019-12-11,12.6,1.8,"85.6","1"
"114050",2019-12-12,12.8,2.4,"90.4","3.8"
"114050",2019-12-13,10,-0.4,"88.3","0"
"114050",2019-12-14,10.4,-0.4,"91","5.8"
"114050",2019-12-15,10.2,-1,"88.9","0"
"114050",2019-12-16,10.2,0.6,"88.1","3.5"
"114050",2019-12-17,10.2,-2.4,"87.7","0"
"114050",2019-12-18,8,-1.6,"83.1","5.9"
"114050",2019-12-19,12.6,-1.4,"88.9","0.8"
"114050",2019-12-20,10.4,1,"91.9","6.9"
"114050",2019-12-21,9.2,-2.8,"91.2","2.6"
"114050",2019-12-22,9.2,1.2,"90.4","6.8"
"114050",2019-12-23,10,0.6,"86.3","0.9"
"114050",2019-12-24,11,-0.8,"92.2","1"
"114050",2019-12-25,11.8,-0.6,"87.3","0"
"114050",2019-12-26,11.8,-1.6,"83.5","6.3"
"114050",2019-12-27,8,-0.8,"85.7","9.3"
"114050",2019-12-28,11.8,-0.2,"86.3","1"
"114050",2019-12-29,12.2,-0.8,"93.6","9.5"
