Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
CABA,Argentina,,,,,,
Buenos Aires,Argentina,,,,,,
Chaco,Argentina,,,,,,
Cordoba,Argentina,,,,,,
Entre Rios,Argentina,,,,,,
Rio Negro,Argentina,,,,,,
Tiera del Fuego,Argentina,,,,,,
Jujuy,Argentina,,,,,,
Salta,Argentina,,,,,,
San Luis,Argentina,,,,,,
Santa Cruz,Argentina,,,,,,
Santa Fe,Argentina,,,,,,
Beni,Bolivia,,,,,,
Chuquisaca,Bolivia,,,,,,
Cochabamba,Bolivia,,,,,,
La Paz,Bolivia,,,,,,
Oruro,Bolivia,,,,,,
Pando,Bolivia,,,,,,
Potosi,Bolivia,,,,,,
Santa Cruz,Bolivia,,,,,,
Tarija,Bolivia,,,,,,
Acre,Brazil,,,,,,
Alagoas,Brazil,,,,,,
Amapa,Brazil,,,,,,
Amazonas,Brazil,,,,,,
Bahia,Brazil,,,,,,
Ceara,Brazil,,,,,,
Distrito Federal,Brazil,,,,,,
Espiritu Santo,Brazil,,,,,,
Goias,Brazil,,,,,,
Maranhao,Brazil,,,,,,
Mato Grosso,Brazil,,,,,,
Mato Grosso do Sul,Brazil,,,,,,
Minas Gerais,Brazil,,,,,,
Para,Brazil,,,,,,
Paraiba,Brazil,,,,,,
Parana,Brazil,,,,,,
Pernambuco,Brazil,,,,,,
Piaui,Brazil,,,,,,
Rio de Janeiro,Brazil,,,,,,
Rio Grande do Norte,Brazil,,,,,,
Rio Grande do Sul,Brazil,,,,,,
Rondonia,Brazil,,,,,,
Roraima,Brazil,,,,,,
Santa Catarina,Brazil,,,,,,
Sao Paulo,Brazil,,,,,,
Sergipe,Brazil,,,,,,
Tocantins,Brazil,,,,,,
Arica y Parinacota,Chile,,,,,,
Tarapaca,Chile,,,,,,
Antofagasta,Chile,,,,,,
Atacama,Chile,,,,,,
Coquimbo,Chile,,,,,,
Valparaiso,Chile,,,,,,
Santiago,Chile,,,,,,
O'Higgins,Chile,,,,,,
Maule,Chile,,,,,,
Nuble,Chile,,,,,,
Biobio,Chile,,,,,,
Araucania,Chile,,,,,,
Los Rios,Chile,,,,,,
Los Lagos,Chile,,,,,,
Aysen,Chile,,,,,,
Magallanes,Chile,,,,,,
Amazonas,Colombia,2020-03-22T13:00:00,0,0,0,,
Antioquia,Colombia,2020-03-22T13:00:00,25,0,0,,
Arauca,Colombia,2020-03-22T13:00:00,0,0,0,,
Atlantico,Colombia,2020-03-22T13:00:00,7,0,0,,
Bogota,Colombia,2020-03-22T13:00:00,0,0,0,,
Bolivar,Colombia,2020-03-22T13:00:00,14,0,0,,
Boyaca,Colombia,2020-03-22T13:00:00,0,0,0,,
Caldas,Colombia,2020-03-22T13:00:00,6,0,0,,
Caqueta,Colombia,2020-03-22T13:00:00,0,0,0,,
Casanare,Colombia,2020-03-22T13:00:00,1,0,0,,
Cauca,Colombia,2020-03-22T13:00:00,2,0,0,,
Cesar ,Colombia,2020-03-22T13:00:00,1,0,0,,
Choco,Colombia,2020-03-22T13:00:00,0,0,0,,
Cordoba,Colombia,2020-03-22T13:00:00,0,0,0,,
Cundinamarca,Colombia,2020-03-22T13:00:00,96,0,0,,
Guainia,Colombia,2020-03-22T13:00:00,0,0,0,,
Guaviare,Colombia,2020-03-22T13:00:00,0,0,0,,
Huila,Colombia,2020-03-22T13:00:00,10,0,0,,
La Guajira,Colombia,2020-03-22T13:00:00,0,0,0,,
Magdalena,Colombia,2020-03-22T13:00:00,2,0,0,,
Meta,Colombia,2020-03-22T13:00:00,1,0,0,,
Narino,Colombia,2020-03-22T13:00:00,0,0,0,,
Norte de Santander,Colombia,2020-03-22T13:00:00,8,0,0,,
Putumayo,Colombia,2020-03-22T13:00:00,0,0,0,,
Quindio,Colombia,2020-03-22T13:00:00,6,0,0,,
Risaralda,Colombia,2020-03-22T13:00:00,13,0,0,,
San Andres y Providencia,Colombia,2020-03-22T13:00:00,1,0,0,,
Santander,Colombia,2020-03-22T13:00:00,3,0,0,,
Sucre,Colombia,2020-03-22T13:00:00,0,0,0,,
Tolima,Colombia,2020-03-22T13:00:00,4,0,0,,
Valle del Cauca,Colombia,2020-03-22T13:00:00,31,0,0,,
Vaupes,Colombia,2020-03-22T13:00:00,0,0,0,,
Vichada,Colombia,2020-03-22T13:00:00,0,0,0,,
Alajuela,Costa Rica,,,,,,
Cartago,Costa Rica,,,,,,
Guanacaste,Costa Rica,,,,,,
Heredia,Costa Rica,,,,,,
Limon,Costa Rica,,,,,,
Puntarenas,Costa Rica,,,,,,
San Jose,Costa Rica,,,,,,
Azua,Dominican Republic,,,,,,
Baoruco,Dominican Republic,,,,,,
Barahona,Dominican Republic,,,,,,
Dajabon,Dominican Republic,,,,,,
Distrito Nacional,Dominican Republic,,,,,,
Duarte,Dominican Republic,,,,,,
El Seibo,Dominican Republic,,,,,,
Elias Pina,Dominican Republic,,,,,,
Espaillat,Dominican Republic,,,,,,
