Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
CABA,Argentina,2020-03-19T01:45:00,48,2,3,,
Buenos Aires,Argentina,2020-03-19T01:45:00,20,0,0,,
Chaco,Argentina,2020-03-19T01:45:00,12,1,0,,
Cordoba,Argentina,2020-03-19T01:45:00,6,0,0,,
Entre Rios,Argentina,2020-03-19T01:45:00,2,0,0,,
Rio Negro,Argentina,2020-03-19T01:45:00,2,0,0,,
Tiera del Fuego,Argentina,2020-03-19T01:45:00,2,0,0,,
Jujuy,Argentina,2020-03-19T01:45:00,1,0,0,,
Salta,Argentina,2020-03-19T01:45:00,1,0,0,,
San Luis,Argentina,2020-03-19T01:45:00,1,0,0,,
Santa Cruz,Argentina,2020-03-19T01:45:00,1,0,0,,
Santa Fe,Argentina,2020-03-19T01:45:00,1,0,0,,
Beni,Bolivia,2020-03-18T16:00:00,0,0,0,,
Chuquisaca,Bolivia,2020-03-18T16:00:00,0,0,0,,
Cochabamba,Bolivia,2020-03-18T16:00:00,1,0,0,,
La Paz,Bolivia,2020-03-18T16:00:00,0,0,0,,
Oruro,Bolivia,2020-03-18T16:00:00,7,0,0,,
Pando,Bolivia,2020-03-18T16:00:00,0,0,0,,
Potosi,Bolivia,2020-03-18T16:00:00,0,0,0,,
Santa Cruz,Bolivia,2020-03-18T16:00:00,4,0,0,,
Tarija,Bolivia,2020-03-18T16:00:00,0,0,0,,
Acre,Brazil,,,,,,
Alagoas,Brazil,,,,,,
Amapa,Brazil,,,,,,
Amazonas,Brazil,,,,,,
Bahia,Brazil,,,,,,
Ceara,Brazil,,,,,,
Distrito Federal,Brazil,,,,,,
Espiritu Santo,Brazil,,,,,,
Goias,Brazil,,,,,,
Maranhao,Brazil,,,,,,
Mato Grosso,Brazil,,,,,,
Mato Grosso do Sul,Brazil,,,,,,
Minas Gerais,Brazil,,,,,,
Para,Brazil,,,,,,
Paraiba,Brazil,,,,,,
Parana,Brazil,,,,,,
Pernambuco,Brazil,,,,,,
Piaui,Brazil,,,,,,
Rio de Janeiro,Brazil,,,,,,
Rio Grande do Norte,Brazil,,,,,,
Rio Grande do Sul,Brazil,,,,,,
Rondonia,Brazil,,,,,,
Roraima,Brazil,,,,,,
Santa Catarina,Brazil,,,,,,
Sao Paulo,Brazil,,,,,,
Sergipe,Brazil,,,,,,
Tocantins,Brazil,,,,,,
Arica y Parinacota,Chile,2020-03-18T15:00:00,0,0,0,,
Tarapaca,Chile,2020-03-18T15:00:00,0,0,0,,
Antofagasta,Chile,2020-03-18T15:00:00,2,0,0,,
Atacama,Chile,2020-03-18T15:00:00,1,0,0,,
Coquimbo,Chile,2020-03-18T15:00:00,0,0,0,,
Valparaiso,Chile,2020-03-18T15:00:00,1,0,0,,
Santiago,Chile,2020-03-18T15:00:00,171,0,0,,
O'Higgins,Chile,2020-03-18T15:00:00,0,0,0,,
Maule,Chile,2020-03-18T15:00:00,2,0,0,,
Nuble,Chile,2020-03-18T15:00:00,26,0,0,,
Biobio,Chile,2020-03-18T15:00:00,6,0,0,,
Araucania,Chile,2020-03-18T15:00:00,4,0,0,,
Los Rios,Chile,2020-03-18T15:00:00,1,0,0,,
Los Lagos,Chile,2020-03-18T15:00:00,7,0,0,,
Aysen,Chile,2020-03-18T15:00:00,1,0,0,,
Magallanes,Chile,2020-03-18T15:00:00,2,0,0,,
Antioquia,Colombia,,,,,,
Bolivar,Colombia,,,,,,
Cundinamarca,Colombia,,,,,,
Santander,Colombia,,,,,,
Atlantico,Colombia,,,,,,
Caldas,Colombia,,,,,,
Huila,Colombia,,,,,,
Meta,Colombia,,,,,,
Norte de Santander,Colombia,,,,,,
Quindio,Colombia,,,,,,
Risaralda,Colombia,,,,,,
Tolima,Colombia,,,,,,
Valle del Cauca,Colombia,,,,,,
Alajuela,Costa Rica,,,,,,
Cartago,Costa Rica,,,,,,
Guanacaste,Costa Rica,,,,,,
Heredia,Costa Rica,,,,,,
Limon,Costa Rica,,,,,,
Puntarenas,Costa Rica,,,,,,
San Jose,Costa Rica,,,,,,
Azua,Dominican Republic,,,,,,
Baoruco,Dominican Republic,,,,,,
Barahona,Dominican Republic,,,,,,
Dajabon,Dominican Republic,,,,,,
Distrito Nacional,Dominican Republic,,,,,,
Duarte,Dominican Republic,,,,,,
El Seibo,Dominican Republic,,,,,,
Elias Pina,Dominican Republic,,,,,,
Espaillat,Dominican Republic,,,,,,
Hato Mayor,Dominican Republic,,,,,,
Hermanas Mirabal,Dominican Republic,,,,,,
Independencia,Dominican Republic,,,,,,
La Altagracia,Dominican Republic,,,,,,
La Romana,Dominican Republic,,,,,,
La Vega,Dominican Republic,,,,,,
Maria Trinidad Sanchez,Dominican Republic,,,,,,
Monsenor Nouel,Dominican Republic,,,,,,
Monte Cristi,Dominican Republic,,,,,,
Monte Plata,Dominican Republic,,,,,,
Pedernales,Dominican Republic,,,,,,
Peravia,Dominican Republic,,,,,,
Puerto Plata,Dominican Republic,,,,,,
Samana,Dominican Republic,,,,,,
San Cristobal,Dominican Republic,,,,,,
San Jose de Ocoa,Dominican Republic,,,,,,
San Juan,Dominican Republic,,,,,,
San Pedro de Macoris,Dominican Republic,,,,,,
Sanchez Ramirez,Dominican Republic,,,,,,
Santiago,Dominican Republic,,,,,,
Santiago Rodriguez,Dominican Republic,,,,,,
Santo Domingo,Dominican Republic,,,,,,
Valverde,Dominican Republic,,,,,,
Azuay,Ecuador,,,,,,
Bolivar,Ecuador,,,,,,
Canar,Ecuador,,,,,,
Carchi,Ecuador,,,,,,
Chimborazo,Ecuador,,,,,,
Cotopaxi,Ecuador,,,,,,
El Oro,Ecuador,,,,,,
Esmeraldas,Ecuador,,,,,,
Galapagos,Ecuador,,,,,,
Guayas,Ecuador,,,,,,
Imbabura,Ecuador,,,,,,
Loja,Ecuador,,,,,,
Los Rios,Ecuador,,,,,,
Manabi,Ecuador,,,,,,
Morona Santiago,Ecuador,,,,,,
Napo,Ecuador,,,,,,
Orellana,Ecuador,,,,,,
Pastaza,Ecuador,,,,,,
Pichincha,Ecuador,,,,,,
Santa Elena,Ecuador,,,,,,
Santo Domingo de los Tsachilas,Ecuador,,,,,,
Sucumbios,Ecuador,,,,,,
Tungurahua,Ecuador,,,,,,
Zamora-Chinchipe,Ecuador,,,,,,
Ahuachapan,El Salvador,,,,,,
Cabanas,El Salvador,,,,,,
Chalatenango,El Salvador,,,,,,
Cuscatlan,El Salvador,,,,,,
La Libertad,El Salvador,,,,,,
La Paz,El Salvador,,,,,,
La Unión,El Salvador,,,,,,
Morazan,El Salvador,,,,,,
San Miguel,El Salvador,,,,,,
San Vicente,El Salvador,,,,,,
Santa Ana,El Salvador,,,,,,
Sonsonate,El Salvador,,,,,,
Usulutan,El Salvador,,,,,,
Atlantida,Honduras,,,,,,
Choluteca,Honduras,,,,,,
Colon,Honduras,,,,,,
Comayagua,Honduras,,,,,,
Copan,Honduras,,,,,,
Cortes,Honduras,,,,,,
El Paraiso,Honduras,,,,,,
Francisco Morazan,Honduras,,,,,,
Gracias a Dios,Honduras,,,,,,
Intibuca,Honduras,,,,,,
Islas de la Bahia,Honduras,,,,,,
La Paz,Honduras,,,,,,
Lempira,Honduras,,,,,,
Ocotepeque,Honduras,,,,,,
Olancho,Honduras,,,,,,
Santa Barbara,Honduras,,,,,,
Valle,Honduras,,,,,,
Yoro,Honduras,,,,,,
Aguascalientes,Mexico,,,,,,
Baja California,Mexico,,,,,,
Baja California Sur,Mexico,,,,,,
Campeche,Mexico,,,,,,
Chiapas,Mexico,,,,,,
Chihuahua,Mexico,,,,,,
Coahuila,Mexico,,,,,,
Colima,Mexico,,,,,,
Ciudad de Mexico,Mexico,,,,,,
Durango,Mexico,,,,,,
Guanajuato,Mexico,,,,,,
Guerrero,Mexico,,,,,,
Hidalgo,Mexico,,,,,,
Jalisco,Mexico,,,,,,
Mexico,Mexico,,,,,,
Michoacan,Mexico,,,,,,
Morelos,Mexico,,,,,,
Nayarit,Mexico,,,,,,
Nuevo Leon,Mexico,,,,,,
Oaxaca,Mexico,,,,,,
Puebla,Mexico,,,,,,
Queretaro,Mexico,,,,,,
Quintana Roo,Mexico,,,,,,
San Luis Potosi,Mexico,,,,,,
Sinaloa,Mexico,,,,,,
Sinaloa,Mexico,,,,,,
Sonora,Mexico,,,,,,
Tabasco,Mexico,,,,,,
Tamaulipas,Mexico,,,,,,
Tlaxcala,Mexico,,,,,,
Veracruz,Mexico,,,,,,
Yucatan,Mexico,,,,,,
Zacatecas,Mexico,,,,,,
Boaco,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Carazo,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Chinandega,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Chontales,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Estelí,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Granada,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Jinotega,Nicaragua,2020-03-18T18:00:00,0,0,0,,
León,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Madriz,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Managua,Nicaragua,2020-03-18T18:00:00,1,0,0,,
Masaya,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Matagalpa,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Nueva Segovia,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Rivas,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Rio San Juan,Nicaragua,2020-03-18T18:00:00,0,0,0,,
NCCAR,Nicaragua,2020-03-18T18:00:00,0,0,0,,
SCCAR,Nicaragua,2020-03-18T18:00:00,0,0,0,,
Bocas del Toro,Panama,,,,,,
