ISO 3166-2 Code,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
AR-C,Ciudad Autonoma de Buenos Aires,Argentina,"",,,
AR-B,Buenos Aires,Argentina,"",,,
AR-K,Catamarca,Argentina,"",,,
AR-H,Chaco,Argentina,"",,,
AR-U,Chubut,Argentina,"",,,
AR-X,Cordoba,Argentina,"",,,
AR-W,Corrientes,Argentina,"",,,
AR-E,Entre Rios,Argentina,"",,,
AR-P,Formosa,Argentina,"",,,
AR-Y,Jujuy,Argentina,"",,,
AR-L,La Pampa,Argentina,"",,,
AR-F,La Rioja,Argentina,"",,,
AR-M,Mendoza,Argentina,"","","",""
AR-N,Misiones,Argentina,"","","",""
AR-Q,Neuquen,Argentina,"","","",""
AR-R,Rio Negro,Argentina,"","","",""
AR-A,Salta,Argentina,"","","",""
AR-J,San Juan,Argentina,"","","",""
AR-D,San Luis,Argentina,"","","",""
AR-Z,Santa Cruz,Argentina,"","","",""
AR-S,Santa Fe,Argentina,"","","",""
AR-G,Santiago del Estero,Argentina,"","","",""
AR-V,Tierra del Fuego,Argentina,"","","",""
AR-T,Tucuman,Argentina,"","","",""
Santa Catarina,Brazil,,,,,,
Sao Paulo,Brazil,,,,,,
Sergipe,Brazil,,,,,,
Tocantins,Brazil,,,,,,
Arica y Parinacota,Chile,2020-03-23T05:08:43,0,0,0,-18.539468,-69.714608
Tarapaca,Chile,2020-03-23T05:08:43,0,0,0,-20.099081,-69.456921
Antofagasta,Chile,2020-03-23T05:08:43,2,0,0,-23.446309,-68.998489
Atacama,Chile,2020-03-23T05:08:43,1,0,0,-27.648325,-70.432532
Coquimbo,Chile,2020-03-23T05:08:43,0,0,0,-30.540377,-70.967739
Valparaiso,Chile,2020-03-23T05:08:43,0,0,0,-32.740869,-71.404539
Santiago,Chile,2020-03-23T05:08:43,54,0,0,-33.478729,-70.590026
O'Higgins,Chile,2020-03-23T05:08:43,0,0,0,-34.434588,-71.154459
Maule,Chile,2020-03-23T05:08:43,9,0,0,-35.500972,-71.727129
Nuble,Chile,2020-03-23T05:08:43,4,0,0,-36.60281,-72.073119
Biobio,Chile,2020-03-23T05:08:43,3,0,0,-37.225612,-73.108534
Araucania,Chile,2020-03-23T05:08:43,0,0,0,-38.782228,-72.543252
Los Rios,Chile,2020-03-23T05:08:43,0,0,0,-39.922539,-72.588985
Los Lagos,Chile,2020-03-23T05:08:43,1,0,0,-42.046638,-73.008764
Aysen,Chile,2020-03-23T05:08:43,1,0,0,-46.035339,-73.036435
Magallanes,Chile,2020-03-23T05:08:43,0,0,0,-51.902416,-73.244018
Amazonas,Colombia,2020-03-15T17:00:00,0,0,0,,
Antioquia,Colombia,2020-03-15T17:00:00,8,0,0,,
Arauca,Colombia,2020-03-15T17:00:00,0,0,0,,
Atlantico,Colombia,2020-03-15T17:00:00,0,0,0,,
Bogota,Colombia,2020-03-15T17:00:00,0,0,0,,
Bolivar,Colombia,2020-03-15T17:00:00,3,0,0,,
Boyaca,Colombia,2020-03-15T17:00:00,0,0,0,,
Caldas,Colombia,2020-03-15T17:00:00,1,0,0,,
Caqueta,Colombia,2020-03-15T17:00:00,0,0,0,,
Casanare,Colombia,2020-03-15T17:00:00,0,0,0,,
Cauca,Colombia,2020-03-15T17:00:00,0,0,0,,
Cesar,Colombia,2020-03-15T17:00:00,0,0,0,,
Choco,Colombia,2020-03-15T17:00:00,0,0,0,,
Cordoba,Colombia,2020-03-15T17:00:00,0,0,0,,
Cundinamarca,Colombia,2020-03-15T17:00:00,20,0,0,,
Guainia,Colombia,2020-03-15T17:00:00,0,0,0,,
Guaviare,Colombia,2020-03-15T17:00:00,0,0,0,,
Huila,Colombia,2020-03-15T17:00:00,7,0,0,,
La Guajira,Colombia,2020-03-15T17:00:00,0,0,0,,
Magdalena,Colombia,2020-03-15T17:00:00,0,0,0,,
Meta,Colombia,2020-03-15T17:00:00,1,0,0,,
Narino,Colombia,2020-03-15T17:00:00,0,0,0,,
Norte de Santander,Colombia,2020-03-15T17:00:00,1,0,0,,
Putumayo,Colombia,2020-03-15T17:00:00,0,0,0,,
Quindio,Colombia,2020-03-15T17:00:00,0,0,0,,
Risaralda,Colombia,2020-03-15T17:00:00,1,0,0,,
San Andres y Providencia,Colombia,2020-03-15T17:00:00,0,0,0,,
Santander,Colombia,2020-03-15T17:00:00,0,0,0,,
Sucre,Colombia,2020-03-15T17:00:00,0,0,0,,
Tolima,Colombia,2020-03-15T17:00:00,0,0,0,,
Valle del Cauca,Colombia,2020-03-15T17:00:00,3,0,0,,
Vaupes,Colombia,2020-03-15T17:00:00,0,0,0,,
Vichada,Colombia,2020-03-15T17:00:00,0,0,0,,
Alajuela,Costa Rica,,,,,,
Cartago,Costa Rica,,,,,,
Guanacaste,Costa Rica,,,,,,
Heredia,Costa Rica,,,,,,
Limon,Costa Rica,,,,,,
Puntarenas,Costa Rica,,,,,,
San Jose,Costa Rica,,,,,,
Azua,Dominican Republic,2020-03-15T16:00:00,,,,,
Baoruco,Dominican Republic,2020-03-15T16:00:00,,,,,
Barahona,Dominican Republic,2020-03-15T16:00:00,,,,,
Dajabon,Dominican Republic,2020-03-15T16:00:00,,,,,
Distrito Nacional,Dominican Republic,2020-03-15T16:00:00,,,,,
Duarte,Dominican Republic,2020-03-15T16:00:00,,,,,
El Seibo,Dominican Republic,2020-03-15T16:00:00,,,,,
Elias Pina,Dominican Republic,2020-03-15T16:00:00,,,,,
Espaillat,Dominican Republic,2020-03-15T16:00:00,,,,,
Hato Mayor,Dominican Republic,2020-03-15T16:00:00,,,,,
Hermanas Mirabal,Dominican Republic,2020-03-15T16:00:00,,,,,
Independencia,Dominican Republic,2020-03-15T16:00:00,,,,,
La Altagracia,Dominican Republic,2020-03-15T16:00:00,,,,,
La Romana,Dominican Republic,2020-03-15T16:00:00,,,,,
La Vega,Dominican Republic,2020-03-15T16:00:00,,,,,
Maria Trinidad Sanchez,Dominican Republic,2020-03-15T16:00:00,,,,,
Monsenor Nouel,Dominican Republic,2020-03-15T16:00:00,,,,,
Monte Cristi,Dominican Republic,2020-03-15T16:00:00,,,,,
Monte Plata,Dominican Republic,2020-03-15T16:00:00,,,,,
Pedernales,Dominican Republic,2020-03-15T16:00:00,,,,,
Peravia,Dominican Republic,2020-03-15T16:00:00,,,,,
Puerto Plata,Dominican Republic,2020-03-15T16:00:00,,,,,
Samana,Dominican Republic,2020-03-15T16:00:00,,,,,
San Cristobal,Dominican Republic,2020-03-15T16:00:00,,,,,
San Jose de Ocoa,Dominican Republic,2020-03-15T16:00:00,,,,,
San Juan,Dominican Republic,2020-03-15T16:00:00,,,,,
San Pedro de Macoris,Dominican Republic,2020-03-15T16:00:00,,,,,
Sanchez Ramirez,Dominican Republic,2020-03-15T16:00:00,,,,,
Santiago,Dominican Republic,2020-03-15T16:00:00,,,,,
Santiago Rodriguez,Dominican Republic,2020-03-15T16:00:00,,,,,
Santo Domingo,Dominican Republic,2020-03-15T16:00:00,,,,,
Valverde,Dominican Republic,2020-03-15T16:00:00,,,,,
Azuay,Ecuador,2020-03-16T01:00:00,1,0,0,,
Bolivar,Ecuador,2020-03-16T01:00:00,0,0,0,,
Canar,Ecuador,2020-03-16T01:00:00,0,0,0,,
Carchi,Ecuador,2020-03-16T01:00:00,0,0,0,,
Chimborazo,Ecuador,2020-03-16T01:00:00,0,0,0,,
Cotopaxi,Ecuador,2020-03-16T01:00:00,0,0,0,,
El Oro,Ecuador,2020-03-16T01:00:00,0,0,0,,
Esmeraldas,Ecuador,2020-03-16T01:00:00,0,0,0,,
Galapagos,Ecuador,2020-03-16T01:00:00,0,0,0,,
Guayas,Ecuador,2020-03-16T01:00:00,19,0,0,,
Imbabura,Ecuador,2020-03-16T01:00:00,0,0,0,,
Loja,Ecuador,2020-03-16T01:00:00,0,0,0,,
Los Rios,Ecuador,2020-03-16T01:00:00,10,0,0,,
Manabi,Ecuador,2020-03-16T01:00:00,0,0,0,,
Morona Santiago,Ecuador,2020-03-16T01:00:00,0,0,0,,
Napo,Ecuador,2020-03-16T01:00:00,0,0,0,,
Orellana,Ecuador,2020-03-16T01:00:00,0,0,0,,
Pastaza,Ecuador,2020-03-16T01:00:00,0,0,0,,
Pichincha,Ecuador,2020-03-16T01:00:00,6,0,0,,
Santa Elena,Ecuador,2020-03-16T01:00:00,0,0,0,,
Santo Domingo de los Tsachilas,Ecuador,2020-03-16T01:00:00,0,0,0,,
Sucumbios,Ecuador,2020-03-16T01:00:00,1,0,0,,
Tungurahua,Ecuador,2020-03-16T01:00:00,0,0,0,,
Zamora-Chinchipe,Ecuador,2020-03-16T01:00:00,0,0,0,,
Ahuachapan,El Salvador,,0,0,0,,
Cabanas,El Salvador,,0,0,0,,
Chalatenango,El Salvador,,0,0,0,,
Cuscatlan,El Salvador,,0,0,0,,
La Libertad,El Salvador,,0,0,0,,
La Paz,El Salvador,,0,0,0,,
La Unión,El Salvador,,0,0,0,,
Morazan,El Salvador,,0,0,0,,
San Miguel,El Salvador,,0,0,0,,
San Vicente,El Salvador,,0,0,0,,
Santa Ana,El Salvador,,0,0,0,,
Sonsonate,El Salvador,,0,0,0,,
Usulutan,El Salvador,,0,0,0,,
Atlantida,Honduras,,,,,,
Choluteca,Honduras,,,,,,
Colon,Honduras,,,,,,
Comayagua,Honduras,,,,,,
Copan,Honduras,,,,,,
Cortes,Honduras,,,,,,
El Paraiso,Honduras,,,,,,
Francisco Morazan,Honduras,,,,,,
Gracias a Dios,Honduras,,,,,,
Intibuca,Honduras,,,,,,
Islas de la Bahia,Honduras,,,,,,
La Paz,Honduras,,,,,,
Lempira,Honduras,,,,,,
Ocotepeque,Honduras,,,,,,
Olancho,Honduras,,,,,,
Santa Barbara,Honduras,,,,,,
Valle,Honduras,,,,,,
Yoro,Honduras,,,,,,
Aguascalientes,Mexico,2020-03-22T23:30:00-06:00,1,0,0,21.879823,-102.296047
Baja California,Mexico,2020-03-22T23:30:00-06:00,0,0,0,32.641176,-115.475579
Baja California Sur,Mexico,2020-03-22T23:30:00-06:00,0,0,0,24.148745,-110.30659
Campeche,Mexico,2020-03-22T23:30:00-06:00,0,0,0,19.844814,-90.539649
Chiapas,Mexico,2020-03-22T23:30:00-06:00,1,0,0,16.753972,-93.115192
Chihuahua,Mexico,2020-03-22T23:30:00-06:00,0,0,0,28.636794,-106.076307
Ciudad de Mexico,Mexico,2020-03-22T23:30:00-06:00,18,0,0,19.441647,-99.151884
Coahuila,Mexico,2020-03-22T23:30:00-06:00,1,0,1,25.421665,-100.999721
Colima,Mexico,2020-03-22T23:30:00-06:00,0,0,0,19.242922,-103.728119
Durango,Mexico,2020-03-22T23:30:00-06:00,1,0,0,24.023988,-104.670194
Guanajuato,Mexico,2020-03-22T23:30:00-06:00,0,0,0,21.016098,-101.253621
Guerrero,Mexico,2020-03-22T23:30:00-06:00,0,0,0,17.551649,-99.501063
Hidalgo,Mexico,2020-03-22T23:30:00-06:00,0,0,0,20.12236,-98.737001
Jalisco,Mexico,2020-03-22T23:30:00-06:00,2,0,0,20.676389,-103.342222
Michoacan,Mexico,2020-03-22T23:30:00-06:00,0,0,0,19.703384,-101.192046
Morelos,Mexico,2020-03-22T23:30:00-06:00,0,0,0,18.921783,-99.234897
Mexico,Mexico,2020-03-22T23:30:00-06:00,4,0,1,19.293488,-99.657317
Nayarit,Mexico,2020-03-22T23:30:00-06:00,0,0,0,21.507413,-104.893799
Nuevo Leon,Mexico,2020-03-22T23:30:00-06:00,5,0,0,25.664697,-100.310892
Oaxaca,Mexico,2020-03-22T23:30:00-06:00,2,0,0,17.059993,-96.72545
Puebla,Mexico,2020-03-22T23:30:00-06:00,6,0,0,19.04399,-98.197495
Queretaro,Mexico,2020-03-22T23:30:00-06:00,6,0,0,20.593391,-100.389957
Quintana Roo,Mexico,2020-03-22T23:30:00-06:00,1,0,0,18.493889,-88.297899
San Luis Potosi,Mexico,2020-03-22T23:30:00-06:00,2,0,0,22.151655,-100.976958
Sinaloa,Mexico,2020-03-22T23:30:00-06:00,2,0,1,24.808808,-107.393756
Sonora,Mexico,2020-03-22T23:30:00-06:00,0,0,0,29.074892,-110.958464
Tabasco,Mexico,2020-03-22T23:30:00-06:00,0,0,0,17.987838,-92.919416
Tamaulipas,Mexico,2020-03-22T23:30:00-06:00,0,0,0,23.731053,-99.15125
Tlaxcala,Mexico,2020-03-22T23:30:00-06:00,0,0,0,19.316553,-98.23764
Veracruz,Mexico,2020-03-22T23:30:00-06:00,0,0,0,19.527085,-96.922645
Yucatan,Mexico,2020-03-22T23:30:00-06:00,1,0,0,20.967537,-89.624392
Zacatecas,Mexico,2020-03-22T23:30:00-06:00,0,0,0,22.776096,-102.571836
Boaco,Nicaragua,,0,0,0,,
Carazo,Nicaragua,,0,0,0,,
Chinandega,Nicaragua,,0,0,0,,
Chontales,Nicaragua,,0,0,0,,
Estelí,Nicaragua,,0,0,0,,
Granada,Nicaragua,,0,0,0,,
Jinotega,Nicaragua,,0,0,0,,
León,Nicaragua,,0,0,0,,
Madriz,Nicaragua,,0,0,0,,
Managua,Nicaragua,,0,0,0,,
Masaya,Nicaragua,,0,0,0,,
Matagalpa,Nicaragua,,0,0,0,,
Nueva Segovia,Nicaragua,,0,0,0,,
Rivas,Nicaragua,,0,0,0,,
Rio San Juan,Nicaragua,,0,0,0,,
NCCAR,Nicaragua,,0,0,0,,
SCCAR,Nicaragua,,0,0,0,,
Bocas del Toro,Panama,,,,,,
Chiriqui,Panama,,,,,,
Cocle,Panama,,,,,,
Colon,Panama,,,,,,
Darien,Panama,,,,,,
Herrera,Panama,,,,,,
Los Santos,Panama,,,,,,
Panama,Panama,,,,,,
Panama Oeste,Panama,,,,,,
Veraguas,Panama,,,,,,
Embera,Panama,,,,,,
Guna Yala,Panama,,,,,,
Ngabe-Bugle,Panama,,,,,,
Distrito Capital,Paraguay,,,,,,
Concepcion,Paraguay,,,,,,
San Pedro,Paraguay,,,,,,
Cordillera,Paraguay,,,,,,
Guaira,Paraguay,,,,,,
Caaguazu,Paraguay,,,,,,
Caazapa,Paraguay,,,,,,
Itapua,Paraguay,,,,,,
Misiones,Paraguay,,,,,,
Paraguari,Paraguay,,,,,,
Alto Parana,Paraguay,,,,,,
Central,Paraguay,,,,,,
Neembucu,Paraguay,,,,,,
Amambay,Paraguay,,,,,,
Canindeyu,Paraguay,,,,,,
Presidente Hayes,Paraguay,,,,,,
Alto Paraguay,Paraguay,,,,,,
Boqueron,Paraguay,,,,,,
Lima,Peru,,58,0,0,,
Loreto,Peru,,0,0,0,,
Lambayeque,Peru,,1,0,0,,
Callao,Peru,,2,0,0,,
Cusco,Peru,,1,0,0,,
Piura,Peru,,2,0,0,,
La Libertad,Peru,,1,0,0,,
Ancash,Peru,,1,0,0,,
Huanuco,Peru,,2,0,0,,
Arequipa,Peru,,2,0,0,,
Ica,Peru,,1,0,0,,
Madre de dios,Peru,,0,0,0,,
Tumbes,Peru,,0,0,0,,
Cajamarca,Peru,,0,0,0,,
Amazonas,Peru,,0,0,0,,
San Martin,Peru,,0,0,0,,
Ucayali,Peru,,0,0,0,,
Pasco,Peru,,0,0,0,,
Junin,Peru,,0,0,0,,
Huancavelica,Peru,,0,0,0,,
Ayacucho,Peru,,0,0,0,,
Apurimac,Peru,,0,0,0,,
Puno,Peru,,0,0,0,,
Moquegua,Peru,,0,0,0,,
Tacna,Peru,,0,0,0,,
Artigas,Uruguay,,,,,,
Canelones,Uruguay,,,,,,
Cerro Largo,Uruguay,,,,,,
Colonia,Uruguay,,,,,,
Durazno,Uruguay,,,,,,
Flores,Uruguay,,,,,,
Florida,Uruguay,,,,,,
Lavalleja,Uruguay,,,,,,
Maldonado,Uruguay,,,,,,
Montevideo,Uruguay,,,,,,
Paysandu,Uruguay,,,,,,
Rio Negro,Uruguay,,,,,,
Rivera,Uruguay,,,,,,
Rocha,Uruguay,,,,,,
Salto,Uruguay,,,,,,
San Jose,Uruguay,,,,,,
Soriano,Uruguay,,,,,,
Tacuarembo,Uruguay,,,,,,
Treinta y Tres,Uruguay,,,,,,
Amazonas,Venezuela,,,,,,
Anzoategui,Venezuela,,,,,,
Apure,Venezuela,,,,,,
Aragua,Venezuela,,,,,,
Barinas,Venezuela,,,,,,
Bolivar,Venezuela,,,,,,
Carabobo,Venezuela,,,,,,
Cojedes,Venezuela,,,,,,
Delta Amacuro,Venezuela,,,,,,
Falcon,Venezuela,,,,,,
Guarico,Venezuela,,,,,,
Vargas,Venezuela,,,,,,
Lara,Venezuela,,,,,,
Merida,Venezuela,,,,,,
Miranda,Venezuela,,,,,,
Monagas,Venezuela,,,,,,
Nueva Esparta,Venezuela,,,,,,
Portuguesa,Venezuela,,,,,,
Sucre,Venezuela,,,,,,
Tachira,Venezuela,,,,,,
Trujillo,Venezuela,,,,,,
Yaracuy,Venezuela,,,,,,
Zulia,Venezuela,,,,,,
